Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,84.781,84.47,83.823,84.154,84.481,83.405,83.226,83.555,79.111,75.032,65.303,64.747,64.378,62.588,63.334,62.67,63.233,60.614,59.643,58.036,59.682,70.365,67.946,
Afghanistan,290.083,284.871,282.338,270.723,264.795,259.868,254.511,247.96,241.256,236.917,231.583,225.563,220.219,214.871,212.215,209.573,204.096,196.522,193.284,190.261,210.053,214.241,203.017,
Angola,360.01,349.638,348.413,329.859,320.654,312.939,306.638,293.787,289.154,276.31,266.289,260.537,247.851,243.505,236.076,229.953,229.534,222.983,213.533,214.355,212.645,227.092,222.861,
Albanie,58.575,57.713,56.949,56.05,55.595,54.775,54.28,51.505,50.737,50.082,49.624,49.243,49.876,49.424,48.016,46.822,45.389,44.163,42.912,42.182,56.31,62.136,60.363,
Andorre,,,,,,,,,,,,,,,,,,,,,,,,
Émirats arabes unis,105.96,100.59,95.695,77.858,74.719,71.718,68.776,66.118,63.627,61.298,59.123,57.121,55.17,53.23,51.363,49.538,47.917,46.223,45.048,44.261,48.073,48.276,45.925,
Argentine,102.208,99.422,95.58,102.93,95.868,92.45,90.894,92.523,88.91,87.333,88.828,84.699,79.569,79.171,78.091,76.307,79.285,75.849,73.538,70.582,87.621,90.414,84.787,
Arménie,101.019,97.531,96.961,91.284,94.264,88.68,87.163,84.779,82.929,78.156,76.073,74.024,75.87,72.57,68.255,65.825,63.252,61.969,60.479,58.735,85.966,84.064,73.798,
Samoa américaines,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-et-Barbuda,94.431,90.393,88.35,92.333,93.223,90.285,90.859,87.766,85.371,83.496,82.084,79.518,77.028,74.345,71.352,71.265,68.379,66.718,63.384,60.871,58.544,56.879,60.727,
Australie,56.11,53.636,53.059,50.706,49.508,47.595,48.235,48.119,46.643,47.91,45.704,46.069,44.464,45.018,44.842,45.231,44.785,44.614,43.127,42.391,41.652,,,
Autriche,63.196,60.139,58.829,59.49,55.035,55.201,51.442,51.858,50.262,50.079,48.689,49.353,46.708,45.326,46.009,44.687,43.796,41.779,43.991,40.952,,,,
Azerbaïdjan,131.099,127.617,124.554,122.054,119.306,119.262,113.874,110.003,111.528,104.041,105.374,101.609,98.629,95.575,96.189,93.653,87.687,89.833,88.435,88.246,149.378,122.756,84.492,
Burundi,380.612,368.382,353.989,346.181,335.721,324.645,318.757,313.762,298.944,296.277,294.658,288.676,281.386,273.145,265.859,255.471,254.484,243.956,243.146,232.316,243.591,246.199,243.136,
Belgique,68.703,67.722,66.905,65.357,62.807,62.164,61.11,63.08,61.634,61.099,59.3,59.462,57.054,57.509,53.263,53.983,51.297,49.351,49.315,46.994,47.78,47.204,46.94,
Bénin,243.816,249.065,258.765,259.611,264.89,260.249,257.462,258.725,256.262,257.879,254.119,256.008,257.668,252.741,254.317,249.694,251.112,245.742,245.631,239.831,246.154,249.345,246.828,
Burkina Faso,292.458,293.466,295.917,292.987,288.274,280.212,277.528,273.442,261.91,259.856,255.623,248.537,244.882,246.557,239.949,235.259,229.907,229.403,223.989,225.045,231.071,246.477,240.675,
Bangladesh,169.91,165.836,155.796,150.016,148.313,146.967,148.327,156.221,150.703,149.51,133.139,132.536,118.525,112.607,114.615,112.617,107.952,103.032,100.365,94.56,116.992,121.34,90.629,
Bulgarie,98.817,95.108,93.926,91.42,92.267,92.247,93.389,91.31,88.735,87.304,87.933,85.702,82.257,82.085,88.291,86.607,86.466,86.496,86.31,81.732,95.17,118.345,,
Bahreïn,83.07,81.669,79.281,79.447,76.06,70.138,68.311,62.152,60.269,59.485,60.119,59.205,56.802,53.642,51.983,51.933,49.919,49.577,49.496,48.797,50.855,52.547,50.631,
Bahamas,143.389,141.513,140.426,138.67,138.491,135.661,134.668,138.431,137.977,137.222,136.55,140.829,139.158,135.261,131.736,134.412,128.925,126.656,125.128,159.168,130.8,142.806,120.957,
