Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,169.694,167.748,166.186,164.507,168.074,162.698,156.245,149.887,156.53,150.283,143.427,141.362,139.318,138.647,136.992,135.037,134.258,130.629,127.002,124.312,124.099,140.466,137.216,
Afghanistan,355.447,349.36,331.54,321.913,313.483,310.94,314.837,318.012,305.06,293.605,288.75,282.654,277.057,271.596,274.007,278.424,274.045,311.655,319.849,305.768,318.587,342.158,329.563,
Angola,469.15,481.08,454.962,409.718,400.21,391.77,389.257,376.381,367.605,359.053,353.366,345.748,337.853,332.765,326.818,321.296,316.08,308.611,308.888,305.594,313.481,331.364,323.663,
Albanie,110.606,109.086,107.491,106.344,105.25,104.528,104.124,97.193,97.633,96.591,95.606,94.095,93.879,93.142,89.576,86.126,82.916,79.586,76.657,74.029,114.508,122.111,118.03,
Andorre,,,,,,,,,,,,,,,,,,,,,,,,
Émirats arabes unis,133.12,129.939,126.548,103.501,100.708,98.0,95.227,92.835,90.399,88.043,85.646,83.394,80.672,78.858,76.298,73.993,72.596,70.841,69.448,68.244,70.319,70.961,68.333,
Argentine,176.243,174.541,174.967,174.324,165.484,163.848,159.537,167.463,157.517,152.466,154.367,150.196,148.625,147.396,142.238,143.506,147.558,140.418,138.893,136.151,147.707,147.702,142.424,
Arménie,220.374,218.454,218.658,216.755,214.647,214.088,212.612,207.825,210.157,206.479,200.962,200.982,194.311,194.234,191.787,186.538,185.84,182.583,182.054,176.089,249.284,260.344,231.161,
Samoa américaines,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-et-Barbuda,160.223,156.059,150.197,148.333,144.764,147.158,149.647,146.949,144.838,141.644,139.37,135.478,132.069,128.908,125.117,121.164,117.334,114.053,110.404,106.9,104.003,100.408,104.913,
Australie,97.967,93.793,90.801,89.052,86.332,85.447,82.945,84.719,82.004,81.768,78.634,78.281,75.751,75.516,76.934,78.367,76.101,77.31,74.055,75.193,73.018,,,
Autriche,126.568,122.892,120.026,115.817,114.612,111.759,105.344,104.253,99.617,103.061,100.315,94.356,91.335,89.369,85.621,84.688,80.37,79.032,79.401,75.489,,,,
Azerbaïdjan,279.173,271.459,258.787,252.257,242.16,240.138,230.967,225.228,220.232,214.152,211.863,207.765,206.836,198.338,196.675,194.524,191.442,185.275,174.7,168.65,319.122,263.766,167.136,
Burundi,482.131,471.204,436.177,416.893,396.709,384.544,375.288,364.779,360.133,352.29,341.706,335.692,329.066,322.204,316.675,324.309,311.654,302.935,304.925,298.476,316.134,314.266,309.539,
Belgique,130.497,128.037,124.715,122.423,116.535,114.317,110.936,109.303,111.648,107.237,102.286,100.409,99.119,94.41,91.495,89.437,86.252,82.997,80.464,77.72,82.326,80.681,77.971,
Bénin,306.59,305.665,305.086,306.773,304.929,305.453,302.412,299.276,300.589,301.092,295.587,295.577,289.894,291.195,288.604,289.617,287.304,286.886,282.252,282.721,288.981,302.469,301.966,
Burkina Faso,366.688,366.312,365.523,360.088,354.325,351.838,344.049,339.111,330.469,322.636,319.932,314.764,310.083,310.402,306.192,301.792,297.436,298.461,292.891,299.581,311.696,324.48,318.367,
Bangladesh,180.505,182.506,185.6,189.195,187.124,190.792,194.908,204.381,203.853,197.76,184.205,184.447,182.932,193.102,183.411,176.354,169.798,161.494,149.093,153.103,156.333,163.031,146.961,
Bulgarie,225.005,222.768,218.165,215.846,215.996,219.427,218.686,212.03,208.154,203.75,196.902,194.111,187.916,184.811,190.232,185.528,187.257,183.956,183.928,182.115,206.104,234.351,,
Bahreïn,114.508,106.683,105.484,100.451,98.418,94.357,91.973,86.546,79.417,73.671,69.082,68.72,67.232,66.609,66.019,64.528,63.291,61.813,59.62,58.199,59.491,61.659,59.533,
Bahamas,238.701,239.576,238.087,236.227,234.585,232.48,233.154,235.299,238.25,243.44,240.973,241.21,238.184,235.541,230.208,231.769,228.659,228.923,226.164,234.53,236.261,252.293,219.573,
Bosnie-Herzégovine,166.773,159.869,155.042,146.196,138.219,149.687,138.381,137.161,127.666,123.854,119.015,115.644,114.47,117.11,118.933,109.237,100.543,97.011,92.691,88.494,97.159,108.895,108.709,
Bélarus,354.094,369.56,383.421,372.783,362.612,369.192,355.849,332.936,334.107,330.003,334.194,336.426,287.27,273.671,261.217,245.384,234.903,227.765,231.323,,,,,
Belize,249.238,255.526,256.73,255.946,252.316,249.934,243.525,238.146,231.789,224.4,218.85,212.918,203.065,194.17,203.784,208.195,204.54,201.648,199.067,194.636,239.508,277.53,261.877,
Bermudes,124.81,115.647,110.416,113.172,114.567,125.126,125.99,123.995,120.61,120.639,121.185,114.953,117.284,117.581,109.544,104.001,107.884,105.956,101.461,98.475,97.284,130.443,93.774,
Bolivie,262.85,260.641,258.73,259.45,255.545,253.542,250.508,250.22,247.288,244.255,243.995,241.179,242.257,238.837,237.511,235.818,231.146,231.098,231.694,231.108,316.665,334.831,302.057,
Brésil,230.417,227.474,227.348,224.274,221.774,212.949,210.546,206.0,201.022,197.694,195.948,193.011,190.624,184.185,177.824,178.498,178.499,170.492,165.432,161.413,189.684,217.709,203.038,
Barbade,170.064,165.536,162.735,160.225,151.388,147.249,145.439,142.715,141.76,141.152,138.273,135.861,134.528,133.051,131.902,130.876,129.608,128.78,127.555,126.348,125.431,123.948,120.529,
Brunéi Darussalam,158.94,156.135,154.119,152.003,150.651,149.2,148.268,147.573,147.046,146.836,146.521,146.055,146.071,145.907,145.708,145.427,144.963,144.372,143.807,142.554,141.401,140.073,141.119,
Bhoutan,264.597,249.39,242.673,235.885,229.534,223.502,217.88,210.845,204.248,199.088,192.865,188.3,182.983,178.033,173.848,169.981,166.636,163.744,160.834,158.172,155.847,153.312,150.61,
Botswana,602.93,611.28,618.624,613.393,600.525,589.476,541.747,504.234,469.88,457.187,418.544,414.743,406.493,389.904,375.821,336.805,297.446,269.544,288.806,302.053,292.178,399.51,296.6,
République centrafricaine,555.894,556.458,559.382,548.605,542.986,535.908,530.931,519.687,510.445,502.293,494.549,482.927,474.801,484.375,501.312,450.392,447.193,454.778,441.58,431.28,448.54,472.339,465.188,
Canada,100.915,99.426,96.835,96.936,94.71,94.342,91.811,91.755,89.926,87.755,85.399,82.916,82.45,81.208,81.436,81.203,82.791,85.803,86.018,82.636,94.257,100.051,,
Suisse,99.439,94.505,91.8,90.441,87.49,84.241,79.749,78.545,75.467,75.903,71.146,68.348,66.999,66.885,63.344,62.284,58.204,60.213,57.573,54.626,56.763,56.868,56.131,
Chili,139.528,142.574,134.721,133.72,130.285,124.597,120.54,123.095,122.373,120.125,118.544,113.339,112.095,112.222,110.522,109.658,105.435,102.154,107.645,105.851,112.595,126.526,117.232,
Chine,148.697,145.357,143.119,141.011,139.029,137.196,134.262,133.742,133.823,129.607,128.122,126.068,124.407,122.306,120.329,118.37,116.757,118.758,112.641,110.228,109.413,106.869,104.068,
Côte d'Ivoire,448.859,453.502,456.337,462.066,454.472,448.346,439.935,430.127,421.207,411.821,401.861,395.216,383.756,376.871,366.067,360.727,353.555,353.168,345.839,343.882,349.567,362.548,356.528,
Cameroun,395.686,395.275,391.114,385.507,384.747,382.55,376.144,374.115,368.844,363.508,360.66,354.076,347.23,339.178,338.369,329.934,319.044,311.281,314.242,305.191,329.202,340.068,330.334,
"Congo, République démocratique du",373.778,370.546,374.11,365.246,354.336,349.555,343.96,339.957,338.34,337.885,330.062,322.34,323.133,320.187,314.684,315.912,310.328,305.592,302.056,301.147,313.209,335.196,328.119,
"Congo, République du",411.302,394.981,386.864,374.549,360.682,344.882,339.404,333.974,325.259,318.376,313.485,313.431,305.779,306.87,305.682,297.229,300.37,299.231,290.9,315.626,304.313,305.437,311.581,
Colombie,232.155,228.275,219.658,210.221,203.565,196.049,189.986,184.985,177.216,169.218,164.817,160.142,155.564,151.666,148.231,145.399,143.184,141.091,141.458,142.284,166.27,212.26,195.552,
Comores,308.264,302.46,304.255,302.343,303.249,304.012,299.541,300.406,294.253,294.871,289.763,288.773,282.022,281.391,275.494,275.358,268.429,268.49,263.567,262.808,262.788,280.901,275.396,
Costa Rica,115.195,116.016,113.194,113.243,111.662,111.684,114.608,115.727,117.855,116.132,115.242,108.206,108.638,107.356,113.897,110.191,106.184,104.695,104.507,103.413,110.686,134.444,130.016,
Cuba,149.72,146.11,142.427,138.903,135.744,133.133,131.14,129.69,128.698,128.076,127.738,127.645,127.807,128.216,128.844,129.661,130.554,131.226,131.328,130.627,130.806,175.323,125.079,
Curacao,161.855,161.803,160.719,158.869,159.176,157.539,157.844,156.417,156.21,154.338,148.992,145.606,139.797,137.842,141.159,140.918,144.968,140.272,140.571,140.861,141.039,148.826,135.232,
